2026-05-16 13:51:24,254 | ERROR | app.main | Database startup connection failed: password authentication failed for user "postgres"
2026-05-16 13:51:24,367 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
INFO:     127.0.0.1:55404 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:55404 - "GET /api/health/runtime HTTP/1.1" 200 OK
INFO:     127.0.0.1:55404 - "GET /api/websocket/status HTTP/1.1" 200 OK
2026-05-16 13:51:29,500 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:51:34,652 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:51:39,753 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:51:45,405 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:51:50,500 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:51:55,674 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
INFO:     127.0.0.1:55447 - "GET /health HTTP/1.1" 200 OK
2026-05-16 13:52:00,770 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:05,967 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:11,048 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:16,145 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:21,416 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:26,526 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:31,638 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:52:36,729 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
